location_id,Cancer,cardiovascular,stroke,depression,rehab,vaccine,diarrhea,obesity,diabetes,year
501,49,18,18,20,26,38,37,22,33,2006
544,43,19,23,22,23,31,35,22,34,2006
740,52,71,45,18,100,0,0,0,33,2006
633,36,16,27,25,20,29,55,12,45,2006
650,46,17,20,21,29,29,42,26,40,2006
652,53,16,23,25,28,38,58,27,43,2006
534,45,17,23,18,30,27,41,17,34,2006
631,57,41,28,24,39,44,51,48,48,2006
632,50,22,23,31,48,37,43,51,39,2006
804,45,7,23,17,29,38,37,10,25,2006
656,43,15,25,18,28,24,27,16,28,2006
597,54,0,47,16,35,40,0,25,32,2006
675,47,20,30,29,31,37,35,34,46,2006
504,57,24,23,23,40,42,44,24,40,2006
753,45,17,23,17,29,32,40,20,36,2006
508,58,23,25,25,37,42,41,32,44,2006
820,41,14,24,21,26,30,38,24,38,2006
500,55,23,26,25,38,48,48,19,44,2006
552,40,0,25,40,0,63,0,59,43,2006
521,48,18,20,25,37,38,41,22,38,2006
717,50,48,26,34,25,24,27,58,32,2006
560,54,25,22,22,32,51,42,29,46,2006
764,45,14,37,25,40,54,50,31,40,2006
811,45,8,24,18,23,34,51,19,30,2006
556,52,24,19,23,29,39,37,22,40,2006
573,46,19,23,26,32,40,58,33,37,2006
611,77,53,38,35,27,74,68,41,55,2006
538,53,15,24,26,21,36,47,24,36,2006
610,44,22,27,19,39,27,13,34,43,2006
862,45,16,24,20,22,40,37,26,39,2006
576,49,19,24,21,48,18,61,28,39,2006
770,42,15,24,22,30,31,41,26,41,2006
661,38,44,10,16,65,26,24,38,33,2006
641,47,24,23,18,31,36,54,19,45,2006
825,45,16,19,17,24,32,41,22,33,2006
807,43,15,21,18,21,37,40,19,33,2006
855,39,13,24,20,29,31,40,25,28,2006
507,48,23,31,24,30,37,46,29,35,2006
819,45,14,21,19,25,35,40,20,33,2006
657,53,72,13,28,16,13,50,19,32,2006
